return_period_yr,agg_n_cells,agg_events
1.0211584020913325,1466,97
1.0211375472276116,1466,97
1.0211166932157008,1466,97
1.0210958400555477,1466,97
1.0210749877471001,1466,97
1.021054136290306,1465,97
1.0210332856851134,1465,97
1.0210124359314696,1465,97
1.020991587029323,1465,97
1.020970738978621,1465,97
1.0209498917793114,1465,97
1.0209290454313424,1465,97
1.0209081999346619,1465,97
1.0208873552892175,1465,97
1.0208665114949569,1465,97
1.0208456685518283,1465,97
1.0208248264597795,1465,97
1.0208039852187583,1464,97
1.0207831448287126,1464,97
1.0207623052895902,1464,97
1.0207414666013392,1464,97
1.0207206287639072,1464,97
1.0206997917772425,1464,97
1.0206789556412925,1463,97
1.0206581203560054,1463,97
1.0206372859213293,1463,97
1.0206164523372117,1463,97
1.0205956196036006,1463,97
1.020574787720444,1463,97
1.02055395668769,1463,97
1.0205331265052864,1462,97
1.020512297173181,1462,97
1.0204914686913218,1462,97
1.0204706410596567,1462,97
1.0204498142781337,1462,97
1.020428988346701,1462,97
1.0204081632653061,1462,97
1.0203873390338973,1462,97
1.0203665156524224,1462,97
1.0203456931208292,1462,97
1.0203248714390662,1462,97
1.0203040506070808,1462,97
1.0202832306248215,1461,97
1.0202624114922358,1461,97
1.0202415932092719,1461,97
1.0202207757758779,1461,97
1.0201999591920017,1461,97
1.020179143457591,1461,97
1.0201583285725944,1461,97
1.0201375145369596,1461,97
1.0201167013506345,1461,97
1.0200958890135672,1460,97
1.020075077525706,1460,97
1.0200542668869983,1460,97
1.0200334570973928,1460,97
1.0200126481568372,1460,97
1.0199918400652794,1460,97
1.0199710328226679,1460,97
1.0199502264289502,1460,97
1.0199294208840748,1460,97
1.0199086161879896,1459,97
1.0198878123406425,1459,97
1.0198670093419817,1459,97
1.0198462071919554,1459,97
1.0198254058905116,1459,96
1.0198046054375982,1459,96
1.0197838058331634,1459,96
1.0197630070771553,1459,96
1.0197422091695219,1458,96
1.0197214121102114,1458,96
1.019700615899172,1458,96
1.0196798205363515,1458,96
1.0196590260216984,1458,96
1.0196382323551605,1458,96
1.019617439536686,1458,96
1.0195966475662228,1458,96
1.0195758564437194,1457,96
1.0195550661691237,1457,96
1.019534276742384,1457,96
1.0195134881634484,1457,96
1.019492700432265,1457,96
1.0194719135487817,1457,96
1.019451127512947,1456,96
1.0194303423247089,1456,96
1.0194095579840157,1456,96
1.0193887744908152,1456,96
1.019367991845056,1456,96
1.019347210046686,1455,96
1.0193264290956536,1455,96
1.0193056489919068,1455,96
1.0192848697353936,1455,96
1.0192640913260627,1455,96
1.0192433137638617,1454,96
1.0192225370487393,1454,96
1.0192017611806434,1454,96
1.0191809861595222,1454,96
1.019160211985324,1454,96
1.0191394386579973,1454,96
1.0191186661774898,1454,96
1.0190978945437499,1454,96
1.019077123756726,1453,96
1.019056353816366,1453,96
1.0190355847226185,1453,96
1.0190148164754316,1453,96
1.0189940490747533,1453,96
1.0189732825205322,1453,96
1.0189525168127165,1452,96
1.0189317519512544,1452,96
1.0189109879360938,1452,96
1.0188902247671836,1452,96
1.0188694624444716,1452,96
1.0188487009679064,1452,96
1.0188279403374358,1452,96
1.0188071805530086,1451,96
1.0187864216145728,1451,96
1.0187656635220768,1451,96
1.0187449062754685,1451,96
1.0187241498746968,1451,96
1.01870339431971,1450,96
1.0186826396104558,1450,96
1.018661885746883,1450,96
1.0186411327289395,1449,96
1.0186203805565741,1449,96
1.018599629229735,1449,96
1.0185788787483703,1449,96
1.0185581291124284,1449,96
1.0185373803218578,1449,96
1.0185166323766066,1449,96
1.0184958852766235,1449,96
1.0184751390218565,1449,96
1.018454393612254,1449,96
1.0184336490477646,1449,96
1.0184129053283364,1448,96
1.0183921624539178,1448,96
1.0183714204244572,1448,96
1.018350679239903,1448,96
1.0183299389002036,1448,96
1.0183091994053075,1448,96
1.0182884607551628,1448,96
1.018267722949718,1448,96
1.0182469859889214,1448,96
1.0182262498727217,1448,96
1.0182055146010671,1448,96
1.018184780173906,1448,96
1.0181640465911868,1448,96
1.018143313852858,1447,96
1.018122581958868,1447,96
1.018101850909165,1447,96
1.0180811207036977,1447,96
1.0180603913424144,1446,96
1.0180396628252637,1446,96
1.0180189351521938,1446,96
1.0179982083231534,1446,96
1.0179774823380907,1446,96
1.0179567571969543,1446,96
1.0179360328996925,1445,96
1.017915309446254,1445,96
1.0178945868365872,1445,96
1.0178738650706405,1445,96
1.0178531441483623,1445,96
1.0178324240697012,1445,96
1.0178117048346056,1445,96
1.0177909864430241,1445,96
1.017770268894905,1445,96
1.0177495521901971,1444,96
1.0177288363288486,1444,96
1.0177081213108081,1444,96
1.017687407136024,1444,96
1.0176666938044452,1444,96
1.0176459813160197,1443,96
1.0176252696706964,1443,96
1.0176045588684237,1443,96
1.0175838489091502,1442,96
1.0175631397928242,1442,96
1.0175424315193944,1442,96
1.0175217240888093,1442,96
1.0175010175010175,1442,96
1.0174803117559674,1441,96
1.017459606853608,1441,96
1.0174389027938873,1441,96
1.017418199576754,1441,96
1.0173974972021569,1441,96
1.0173767956700444,1441,96
1.017356094980365,1441,96
1.0173353951330675,1440,96
1.0173146961281003,1440,96
1.017293997965412,1440,96
1.0172733006449513,1440,96
1.0172526041666667,1440,96
1.0172319085305068,1440,96
1.0172112137364202,1439,96
1.0171905197843556,1439,96
1.0171698266742615,1439,96
1.0171491344060866,1439,96
1.0171284429797796,1439,96
1.0171077523952887,1439,96
1.017087062652563,1439,96
1.017066373751551,1438,96
1.0170456856922012,1438,96
1.0170249984744626,1438,96
1.0170043120982832,1438,96
1.0169836265636123,1438,96
1.0169629418703983,1438,96
1.0169422580185896,1438,96
1.0169215750081353,1438,96
1.016900892838984,1438,96
1.016880211511084,1438,96
1.0168595310243842,1438,96
1.0168388513788336,1438,96
1.0168181725743803,1438,96
1.0167974946109732,1437,96
1.0167768174885612,1437,96
